,TweetSentence,annotation,entry_batch,hashtags,phase1Candidates,sentID,start_time,tweetID,user
0,Frankie Edgar vs  Yair Rodriguez FULL FIGHT - UFC 211  via @YouTube,"['frankie edgar', 'yair rodriguez']",61,"UFC211, FrankieEdgarvsYairRodriguez, UFC211FIGHT",Frankie Edgar::*0*1*||Yair Rodriguez FULL FIGHT::*3*4*5*6*||UFC 211::*8*9*||,0,2017-09-04 22:41:03.118579,3050,Correct_11
1,"Maia vs Masvidal now on  I'm taking Masvidal by TKO, look to see him keep the fight standing","['maia', 'masvidal', 'masvidal']",61,UFC211,Masvidal::*2*||Masvidal by TKO::*7*8*9*||,0,2017-09-04 22:41:03.119627,3051,Joey_Purg
2,If @GamebredFighter can pull this off it will be awesome!,[],61,UFC211,,0,2017-09-04 22:41:03.120632,3052,Constntino
3,Let's hope this fight delivers.,[],61,UFC211,,1,2017-09-04 22:41:03.120632,3052,Constntino
4,Umm Jesus that was Entertaining!,['jesus'],61,nan,nan,0,2017-09-04 22:41:03.121305,3053,RamonJMontoya
5,Sherman vs Coulter if any fight on the main card can beat that for FOTN we're in for a CLASSIC,"['sherman', 'coulter']",61,nan,Coulter::*2*||FOTN::*14*||CLASSIC::*19*||,1,2017-09-04 22:41:03.121305,3053,RamonJMontoya
6,Wow What a performance!,[],61,UFC211,,0,2017-09-04 22:41:03.122571,3054,RTG_T0T
7,Pure domination!,[],61,UFC211,,0,2017-09-04 22:41:03.122918,3055,GetPaidinBlood
8,FrankieEdgar reminds us that he's a straight BEAST!,['frankieedgar'],61,UFC211,BEAST::*7*||,1,2017-09-04 22:41:03.122918,3055,GetPaidinBlood
9,Striker vs grappler.,['striker'],61,UFC211,,0,2017-09-04 22:41:03.123689,3056,TheImmortalCapo
10,Up next : Masvidal v Maia - an MMA purists dream match up - who we all got?!?,"['masvidal', 'maia', 'mma']",61,"ufc211, enjoythehostilities",Masvidal::*3*||Maia::*5*||MMA::*8*||,0,2017-09-04 22:41:03.123986,3057,robinblackmma
11,@robinblackmma,[],61,"ufc211, enjoythehostilities",,1,2017-09-04 22:41:03.123986,3057,robinblackmma
12,"Demian Maia shouldn't have taken this fight but it could go either way for him, really good or really bad",['demian maia'],61,UFC211,Demian Maia::*0*1*||,0,2017-09-04 22:41:03.125089,3058,Yohanna_Araya
13,You can tell Cormier appreciates Maia.,"['cormier', 'maia']",61,UFC211,Cormier::*3*||Maia::*5*||,0,2017-09-04 22:41:03.125905,3059,stupidskeleton
14,Great fights  has been great.,[],61,ufc211,,0,2017-09-04 22:41:03.126553,3060,IRISHPRINCEMMA
15,I'm going with Masvidal for the upset.,['masvidal'],61,"UFC211, EasyMoney, SignTheFeatherweights",Masvidal::*3*||,0,2017-09-04 22:41:03.126899,3061,MeganA_mma
16,Who you all got?,[],61,"UFC211, EasyMoney, SignTheFeatherweights",,1,2017-09-04 22:41:03.126899,3061,MeganA_mma
17,"Scarface music is a little weird for a walkout song, but Masvidal is doing it","['scarface', 'masvidal']",61,UFC211,Masvidal::*11*||,0,2017-09-04 22:41:03.127622,3062,Mike_Malo
18,Easiest Ways to Beat Ransomware   Portugal,['portugal'],61,"UFC211, WangoTango",nan,0,2017-09-04 22:41:03.128400,3063,social_article
19,Brasil loves LinkinPark.,"['brasil', 'linkin park']",61,"UFC211, MMA",LinkinPark::*2*||,0,2017-09-04 22:41:03.128800,3064,McDuckMMA
20,Maia is coming out to Linkin Park ðŸ˜‚,"['maia', 'linkin park']",61,"GOAT, UFC211",Linkin Park::*5*6*||,0,2017-09-04 22:41:03.129279,3065,Ali_F_Abdullah
21,Masvidal hype will be drowned after Maia submits him,"['masvidal', 'maia']",61,ufc211,Maia::*6*||,0,2017-09-04 22:41:03.129919,3066,XVSting
22,I want Maia to win just for coming out to Numb by Linkin Park,"['maia', 'linkin park', 'numb']",61,UFC211,Maia::*2*||Numb by Linkin Park::*10*11*12*13*||,0,2017-09-04 22:41:03.130653,3067,PharaohArnold
23,nan,[],61,nan,nan,0,2017-09-04 22:41:03.131516,3068,nan
